,Sr.no,Year,Mo,Dy,Hr,Mn,Sec,TsunamiNanEventNanValidity,TsunamiNanCauseNanCode,EarthquakeNanMagnitude,Vol,MoreNanInfo,Deposits,Country,LocationNanName,Latitude,Longitude,MaximumNanWaterNanHeightNan(m),NumberNanofNanRunups,TsunamiNanMagnitudeNan(Abe),TsunamiNanMagnitudeNan(Iida),TsunamiNanIntensity,Deaths,DeathNanDescription,Missing,MissingNanDescription,Injuries,InjuriesNanDescription,DamageNan($Mil),DamageNanDescription,HousesNanDestroyed,HousesNanDestroyedNanDescription,HousesNanDamaged,HousesNanDamagedNanDescription,TotalNanDeaths,TotalNanDeathNanDescription,TotalNanMissing,TotalNanMissingNanDescription,TotalNanInjuries,TotalNanInjuriesNanDescription,TotalNanDamageNan($Mil),TotalNanDamageNanDescription,TotalNanHousesNanDestroyed,TotalNanHousesNanDestroyedNanDescription,TotalNanHousesNanDamaged,TotalNanHousesNanDamagedNanDescription,Code
0,1,1900,1.0,10.0,,,,1,1,,,,0,Indonesia,"GALELA,NanHALMAHERANanISLAND",1.82,127.85,,1,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,IDN
1,2,1900,8.0,11.0,4.0,40.0,,4,3,,,,0,Usa,"LITUYANanBAY,NanAK",58.6,-137.5,,1,,,,5.0,1.0,,,,,,1.0,,,,,5.0,1.0,,,,,,1.0,,,,,USA
2,3,1900,9.0,10.0,21.0,30.0,,4,1,6.8,,,0,Papua New Guinea,BISMARCKNanSEA,-4.0,152.0,,3,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,PNG
3,4,1900,9.0,17.0,21.0,45.0,,3,1,7.1,,,0,Papua New Guinea,RABAULNanHARBOR,-5.0,148.0,3.0,1,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,PNG
4,5,1900,10.0,7.0,21.0,4.0,,3,1,6.9,,,0,Indonesia,BISMARCKNanSEA,-4.0,140.0,,4,,1.0,1.5,5.0,1.0,,,,,,1.0,1.0,1.0,,,5.0,1.0,,,,,,1.0,1.0,1.0,,,IDN
5,6,1900,10.0,29.0,9.0,11.0,,3,1,7.7,,,0,Venezuela,MANCUTO,11.0,-66.0,10.0,5,,,,,,,,,,,1.0,,1.0,,,25.0,1.0,,,,,,3.0,,3.0,,3.0,
6,7,1901,3.0,3.0,7.0,45.0,,3,3,6.7,,,0,Usa,"MONTEREYNanBAY,NanN.NanCALIFORNIA",36.0,-120.5,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA
7,8,1901,3.0,31.0,7.0,12.0,,3,1,7.2,,,0,Bulgaria,BLACKNanSEA,43.4,28.5,3.0,1,,,4.0,,,,,,,,,,,,,4.0,1.0,,,50.0,1.0,,3.0,1200.0,4.0,,,BGR
8,9,1901,6.0,15.0,,,,4,1,6.0,,,0,Japan,"IWATE,NanJAPAN",39.0,143.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,JPN
9,10,1901,6.0,24.0,,,,4,1,7.5,,,0,Japan,RYUKYUNanISLANDS,28.0,130.3,0.25,4,,-2.3,-1.5,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,JPN
